Logistics_ID,Ref_OrderID,Delivery_Status
TRK-900001,ORD-100001,In Transit
TRK-900003,ORD-100003,Delivered
TRK-900004,ORD-100004,Delivered
TRK-900005,ORD-100005,Delivered
TRK-900006,ORD-100006,In Transit
TRK-900007,ORD-100007,In Transit
TRK-900008,ORD-100008,RTO
TRK-900009,ORD-100009,In Transit
TRK-900010,ORD-100010,In Transit
TRK-900011,ORD-100011,Delivered
TRK-900013,ORD-100013,In Transit
TRK-900014,ORD-100014,Delivered
TRK-900015,ORD-100015,RTO
TRK-900016,ORD-100016,In Transit
TRK-900017,ORD-100017,In Transit
TRK-900018,ORD-100018,RTO
TRK-900019,ORD-100019,Delivered
TRK-900020,ORD-100020,RTO
TRK-900021,ORD-100021,Delivered
TRK-900024,ORD-100024,In Transit
TRK-900025,ORD-100025,Delivered
TRK-900026,ORD-100026,In Transit
TRK-900027,ORD-100027,In Transit
TRK-900028,ORD-100028,RTO
TRK-900029,ORD-100029,Delivered
TRK-900030,ORD-100030,Delivered
TRK-900031,ORD-100031,Delivered
TRK-900032,ORD-100032,RTO
TRK-900033,ORD-100033,Delivered
TRK-900034,ORD-100034,In Transit
TRK-900037,ORD-100037,In Transit
TRK-900038,ORD-100038,RTO
TRK-900039,ORD-100039,RTO
TRK-900040,ORD-100040,Delivered
TRK-900041,ORD-100041,Delivered
TRK-900042,ORD-100042,RTO
TRK-900044,ORD-100044,RTO
TRK-900046,ORD-100046,Delivered
TRK-900047,ORD-100047,Delivered
TRK-900048,ORD-100048,In Transit
TRK-900049,ORD-100049,Delivered
TRK-900050,ORD-100050,In Transit
TRK-900051,ORD-100051,In Transit
TRK-900052,ORD-100052,RTO
TRK-900053,ORD-100053,RTO
TRK-900054,ORD-100054,Delivered
TRK-900055,ORD-100055,In Transit
TRK-900056,ORD-100056,In Transit
TRK-900057,ORD-100057,In Transit
TRK-900058,ORD-100058,In Transit
TRK-900059,ORD-100059,RTO
TRK-900060,ORD-100060,Delivered
TRK-900061,ORD-100061,RTO
TRK-900062,ORD-100062,Delivered
TRK-900063,ORD-100063,Delivered
TRK-900064,ORD-100064,Delivered
TRK-900065,ORD-100065,Delivered
TRK-900067,ORD-100067,In Transit
TRK-900070,ORD-100070,Delivered
TRK-900071,ORD-100071,In Transit
TRK-900072,ORD-100072,In Transit
TRK-900073,ORD-100073,Delivered
TRK-900074,ORD-100074,In Transit
TRK-900075,ORD-100075,Delivered
TRK-900076,ORD-100076,RTO
TRK-900077,ORD-100077,Delivered
TRK-900078,ORD-100078,RTO
TRK-900079,ORD-100079,Delivered
TRK-900080,ORD-100080,In Transit
TRK-900081,ORD-100081,Delivered
TRK-900082,ORD-100082,RTO
TRK-900083,ORD-100083,In Transit
TRK-900084,ORD-100084,Delivered
TRK-900085,ORD-100085,RTO
TRK-900086,ORD-100086,In Transit
TRK-900087,ORD-100087,In Transit
TRK-900088,ORD-100088,RTO
TRK-900089,ORD-100089,RTO
TRK-900090,ORD-100090,In Transit
TRK-900091,ORD-100091,In Transit
TRK-900092,ORD-100092,In Transit
TRK-900093,ORD-100093,In Transit
TRK-900094,ORD-100094,In Transit
TRK-900095,ORD-100095,RTO
TRK-900096,ORD-100096,Delivered
TRK-900097,ORD-100097,RTO
TRK-900098,ORD-100098,Delivered
TRK-900099,ORD-100099,In Transit
TRK-900101,ORD-100101,Delivered
TRK-900102,ORD-100102,RTO
TRK-900103,ORD-100103,In Transit
TRK-900104,ORD-100104,Delivered
TRK-900105,ORD-100105,Delivered
TRK-900106,ORD-100106,RTO
TRK-900107,ORD-100107,In Transit
TRK-900108,ORD-100108,In Transit
TRK-900109,ORD-100109,RTO
TRK-900110,ORD-100110,In Transit
TRK-900111,ORD-100111,Delivered
TRK-900112,ORD-100112,Delivered
TRK-900114,ORD-100114,In Transit
TRK-900115,ORD-100115,RTO
TRK-900116,ORD-100116,Delivered
TRK-900117,ORD-100117,Delivered
TRK-900118,ORD-100118,RTO
TRK-900119,ORD-100119,In Transit
TRK-900120,ORD-100120,RTO
TRK-900121,ORD-100121,In Transit
TRK-900122,ORD-100122,RTO
TRK-900123,ORD-100123,In Transit
TRK-900124,ORD-100124,Delivered
TRK-900125,ORD-100125,RTO
TRK-900126,ORD-100126,RTO
TRK-900127,ORD-100127,RTO
TRK-900128,ORD-100128,Delivered
TRK-900129,ORD-100129,RTO
TRK-900130,ORD-100130,RTO
TRK-900131,ORD-100131,In Transit
TRK-900132,ORD-100132,In Transit
TRK-900133,ORD-100133,Delivered
TRK-900134,ORD-100134,Delivered
TRK-900135,ORD-100135,RTO
TRK-900136,ORD-100136,Delivered
TRK-900137,ORD-100137,In Transit
TRK-900138,ORD-100138,Delivered
TRK-900139,ORD-100139,In Transit
TRK-900140,ORD-100140,Delivered
TRK-900141,ORD-100141,In Transit
TRK-900142,ORD-100142,RTO
TRK-900143,ORD-100143,In Transit
TRK-900144,ORD-100144,In Transit
TRK-900145,ORD-100145,Delivered
TRK-900146,ORD-100146,Delivered
TRK-900147,ORD-100147,RTO
TRK-900148,ORD-100148,RTO
TRK-900149,ORD-100149,RTO
TRK-900150,ORD-100150,In Transit
TRK-900151,ORD-100151,RTO
TRK-900152,ORD-100152,RTO
TRK-900153,ORD-100153,In Transit
TRK-900154,ORD-100154,Delivered
TRK-900155,ORD-100155,In Transit
TRK-900156,ORD-100156,In Transit
TRK-900157,ORD-100157,Delivered
TRK-900158,ORD-100158,Delivered
TRK-900159,ORD-100159,In Transit
TRK-900160,ORD-100160,RTO
TRK-900162,ORD-100162,In Transit
TRK-900163,ORD-100163,In Transit
TRK-900165,ORD-100165,RTO
TRK-900166,ORD-100166,Delivered
TRK-900167,ORD-100167,In Transit
TRK-900168,ORD-100168,In Transit
TRK-900169,ORD-100169,RTO
TRK-900170,ORD-100170,RTO
TRK-900171,ORD-100171,RTO
TRK-900172,ORD-100172,In Transit
TRK-900173,ORD-100173,In Transit
TRK-900174,ORD-100174,In Transit
TRK-900175,ORD-100175,RTO
TRK-900176,ORD-100176,In Transit
TRK-900177,ORD-100177,RTO
TRK-900178,ORD-100178,RTO
TRK-900179,ORD-100179,In Transit
TRK-900180,ORD-100180,In Transit
TRK-900181,ORD-100181,In Transit
TRK-900182,ORD-100182,Delivered
TRK-900183,ORD-100183,RTO
TRK-900184,ORD-100184,RTO
TRK-900185,ORD-100185,In Transit
TRK-900188,ORD-100188,RTO
TRK-900189,ORD-100189,RTO
TRK-900190,ORD-100190,RTO
TRK-900191,ORD-100191,Delivered
TRK-900192,ORD-100192,In Transit
TRK-900193,ORD-100193,RTO
TRK-900194,ORD-100194,Delivered
TRK-900195,ORD-100195,RTO
TRK-900196,ORD-100196,RTO
TRK-900197,ORD-100197,Delivered
TRK-900198,ORD-100198,Delivered
TRK-900199,ORD-100199,In Transit
TRK-900201,ORD-100201,Delivered
TRK-900202,ORD-100202,RTO
TRK-900203,ORD-100203,RTO
TRK-900204,ORD-100204,Delivered
TRK-900206,ORD-100206,RTO
TRK-900207,ORD-100207,Delivered
TRK-900208,ORD-100208,RTO
TRK-900209,ORD-100209,Delivered
TRK-900210,ORD-100210,RTO
TRK-900211,ORD-100211,Delivered
TRK-900212,ORD-100212,In Transit
TRK-900213,ORD-100213,Delivered
TRK-900214,ORD-100214,Delivered
TRK-900215,ORD-100215,RTO
TRK-900216,ORD-100216,In Transit
TRK-900217,ORD-100217,Delivered
TRK-900218,ORD-100218,RTO
TRK-900219,ORD-100219,RTO
TRK-900220,ORD-100220,In Transit
TRK-900221,ORD-100221,Delivered
TRK-900222,ORD-100222,Delivered
TRK-900223,ORD-100223,RTO
TRK-900224,ORD-100224,RTO
TRK-900225,ORD-100225,In Transit
TRK-900226,ORD-100226,RTO
