OrderID,OrderDate,SKU,Revenue,Payment_Status
ORD-100001,2026-02-10,OURO-56,326,Paid
ORD-100002,2025-11-13,OURO-92,380,Pending
ORD-100003,2025-09-18,OURO-39,406,Paid
ORD-100004,2026-03-06,OURO-39,487,Paid
ORD-100005,2025-12-19,OURO-69,211,Paid
ORD-100006,2026-07-31,OURO-64,257,Pending
ORD-100007,2026-05-29,OURO-41,400,Paid
ORD-100008,2025-12-16,OURO-21,195,Paid
ORD-100009,2025-10-01,OURO-98,263,Paid
ORD-100010,2026-01-17,OURO-40,268,Pending
ORD-100011,2026-09-04,OURO-47,141,Paid
ORD-100012,2026-02-12,OURO-23,339,Pending
ORD-100013,2025-11-25,OURO-17,491,Paid
ORD-100014,2025-11-05,OURO-33,281,Paid
ORD-100015,2026-09-06,OURO-20,142,Paid
ORD-100016,2025-10-11,OURO-91,344,Pending
ORD-100017,2026-05-14,OURO-50,324,Paid
ORD-100018,2025-09-13,OURO-54,195,Paid
ORD-100019,2026-05-15,OURO-96,93,Paid
ORD-100020,2026-05-17,OURO-90,442,Pending
ORD-100021,2025-09-22,OURO-51,356,Paid
ORD-100022,2026-01-15,OURO-55,217,Paid
ORD-100023,2025-11-08,OURO-42,190,Pending
ORD-100024,2026-04-19,OURO-93,57,Paid
ORD-100025,2025-11-06,OURO-75,209,Pending
ORD-100026,2025-12-10,OURO-32,322,Paid
ORD-100027,2026-04-22,OURO-40,257,Pending
ORD-100028,2026-08-04,OURO-51,213,Paid
ORD-100029,2026-03-24,OURO-21,177,Pending
ORD-100030,2026-04-18,OURO-48,252,Pending
ORD-100031,2026-03-03,OURO-43,142,Paid
ORD-100032,2026-06-05,OURO-43,320,Pending
ORD-100033,2026-04-01,OURO-82,238,Pending
ORD-100034,2026-07-09,OURO-84,424,Pending
ORD-100035,2026-07-12,OURO-92,172,Pending
ORD-100036,2026-07-22,OURO-97,410,Paid
ORD-100037,2026-08-02,OURO-36,235,Paid
ORD-100038,2025-12-27,OURO-39,217,Paid
ORD-100039,2026-08-18,OURO-93,75,Paid
ORD-100040,2026-03-30,OURO-21,363,Paid
ORD-100041,2026-07-09,OURO-69,354,Pending
ORD-100042,2025-09-23,OURO-20,171,Paid
ORD-100043,2026-05-07,OURO-55,211,Paid
ORD-100044,2026-02-04,OURO-14,193,Paid
ORD-100045,2026-07-12,OURO-51,50,Paid
ORD-100046,2025-12-12,OURO-64,494,Pending
ORD-100047,2026-03-03,OURO-13,170,Paid
ORD-100048,2026-06-08,OURO-70,409,Paid
ORD-100049,2025-12-15,OURO-17,473,Paid
ORD-100050,2026-04-30,OURO-86,394,Paid
ORD-100051,2025-09-15,OURO-73,344,Paid
ORD-100052,2026-06-14,OURO-79,173,Pending
ORD-100053,2026-01-31,OURO-93,230,Paid
ORD-100054,2026-07-20,OURO-49,90,Pending
ORD-100055,2026-02-15,OURO-78,99,Pending
ORD-100056,2025-10-31,OURO-26,464,Paid
ORD-100057,2025-12-05,OURO-90,369,Paid
ORD-100058,2026-03-09,OURO-19,157,Paid
ORD-100059,2025-10-09,OURO-32,70,Paid
ORD-100060,2026-08-14,OURO-40,276,Pending
ORD-100061,2025-12-25,OURO-95,257,Paid
ORD-100062,2026-04-21,OURO-32,56,Paid
ORD-100063,2025-11-13,OURO-18,220,Pending
ORD-100064,2025-09-14,OURO-75,174,Paid
ORD-100065,2025-09-13,OURO-86,366,Paid
ORD-100066,2026-03-09,OURO-98,72,Paid
ORD-100067,2026-01-29,OURO-42,181,Paid
ORD-100068,2026-07-20,OURO-22,169,Pending
ORD-100069,2025-11-23,OURO-50,438,Paid
ORD-100070,2025-12-24,OURO-39,133,Paid
ORD-100071,2026-06-24,OURO-69,204,Paid
ORD-100072,2026-03-07,OURO-75,371,Pending
ORD-100073,2026-01-13,OURO-77,351,Pending
ORD-100074,2026-06-27,OURO-41,168,Paid
ORD-100075,2026-04-10,OURO-24,208,Paid
ORD-100076,2026-09-08,OURO-15,233,Paid
ORD-100077,2026-08-20,OURO-54,321,Paid
ORD-100078,2026-01-09,OURO-85,83,Paid
ORD-100079,2026-01-04,OURO-81,191,Paid
ORD-100080,2026-03-09,OURO-32,245,Paid
ORD-100081,2026-05-02,OURO-28,181,Pending
ORD-100082,2026-08-13,OURO-16,218,Paid
ORD-100083,2025-12-23,OURO-62,482,Paid
ORD-100084,2026-07-01,OURO-99,124,Paid
ORD-100085,2026-04-18,OURO-75,385,Paid
ORD-100086,2025-12-09,OURO-63,54,Pending
ORD-100087,2026-02-19,OURO-10,410,Paid
ORD-100088,2025-12-16,OURO-53,302,Paid
ORD-100089,2026-06-10,OURO-60,94,Pending
ORD-100090,2026-05-10,OURO-20,348,Pending
ORD-100091,2025-11-20,OURO-39,292,Paid
ORD-100092,2026-02-27,OURO-93,91,Pending
ORD-100093,2025-10-02,OURO-27,338,Pending
ORD-100094,2026-02-01,OURO-26,295,Paid
ORD-100095,2026-05-07,OURO-94,391,Paid
ORD-100096,2025-09-21,OURO-21,379,Paid
ORD-100097,2026-06-23,OURO-14,464,Paid
